start	end	corpus	sent_id	left	node	right	node_sentences	schema	cxn_type	syntactic_transitivity	dobj_syntax	dobj_role	dobj_animacy	agent_encoded	agent_gf	agen_animacy	theme_encoded	theme_gf	theme_obl_flag	recipient_encoded	recipient_gf	obj2_syntax	obj2_role	recipient_obl_flag	notes	word_order
33	40	ind_news_2008_300K	13350	Sebelumnya kubu Muhaimin sempat	menawari	Gus Dur sebagai Dewan Mustasyar (penasihat), setelah menolak menjadi ketua umum dewan syura.	Sebelumnya kubu Muhaimin sempat <m>menawari</m> Gus Dur sebagai Dewan Mustasyar (penasihat), setelah menolak menjadi ketua umum dewan syura.			replicate	np	recepient	animate									pp				
43	50	ind_news_2008_300K	17905	Menurut dia, karena tidak punya uang PSIS	menawari	Bambang Nurdiansyah dengan satu unit mobil Toyota Kijang Innova dan sebidang tanah miliknya yang ada di Ungaran Kabupaten Semarang sebagai ganti uang kontrak dan ditambah gaji bulanan yang tidak banyak.	Menurut dia, karena tidak punya uang PSIS <m>menawari</m> Bambang Nurdiansyah dengan satu unit mobil Toyota Kijang Innova dan sebidang tanah miliknya yang ada di Ungaran Kabupaten Semarang sebagai ganti uang kontrak dan ditambah gaji bulanan yang tidak banyak.	recepient_obj_cxn	recipient-obj_theme-oblique	monotransitive	np	recepient	animate	yes	subj	FALSE	yes	obl	dengan	yes	obj1	pp	theme		pp_theme	A-v-R-T
33	40	ind_news_2008_300K	19692	"""Saya tidak membujuk tapi hanya"	menawari	"mereka kalau saya bisa menggandakan uang dari Rp 5.000,00 menjadi Rp 500.000,00, cukup dengan perantara selebaran kertas karton yang dipotong menyerupai uang setelah melalui proses selama dua minggu,"" ujarnya."	"""Saya tidak membujuk tapi hanya <m>menawari</m> mereka kalau saya bisa menggandakan uang dari Rp 5.000,00 menjadi Rp 500.000,00, cukup dengan perantara selebaran kertas karton yang dipotong menyerupai uang setelah melalui proses selama dua minggu,"" ujarnya."	recepient_obj_cxn	double-obj_clausal-theme	monotransitive	np	recepient	animate	yes	subj	TRUE	yes	clause	kalau	yes	obj1	clause	theme		clausal_theme	A-v-R-T
49	56	ind_news_2008_300K	56495	Dengan pertimbangan keamanan diri dan istri, ia	menawari	agar kompensasinya dikurangi menjadi satu juta RM serta meminta waktu untuk mencari uang sebanyak itu.	Dengan pertimbangan keamanan diri dan istri, ia <m>menawari</m> agar kompensasinya dikurangi menjadi satu juta RM serta meminta waktu untuk mencari uang sebanyak itu.	theme_obj_cxn	theme-obj	monotransitive	clause	theme	inanimate	yes	subj	TRUE	yes	clause	agar	no					clausal_theme	A-v-T
70	77	ind_news_2008_300K	60229	Usai syuting sinetron ramadhan, Soleha, pada Nopember lalu, SinemArt	menawari	Cha-cha untuk main film komedi satir dengan lawan main Ringgo Agus.	Usai syuting sinetron ramadhan, Soleha, pada Nopember lalu, SinemArt <m>menawari</m> Cha-cha untuk main film komedi satir dengan lawan main Ringgo Agus.	recepient_obj_cxn	double-obj_clausal-theme	monotransitive	np	recepient	animate	yes	subj	FALSE	yes	clause	untuk	yes	obj1	clause	theme		clausal_theme	A-v-R-T
112	119	ind_news_2008_300K	68550	Walikota. yang naik sampan bermotor dengan beberapa kepala dinas, ketika bersilaturahmi dengan warga Suku Utan	menawari	anak-anak usia sekolah dasar untuk dibiayai sepenuhnya oleh pemerintah, termasuk untuk pemondokan dan keperluan orangtua asuh.	Walikota. yang naik sampan bermotor dengan beberapa kepala dinas, ketika bersilaturahmi dengan warga Suku Utan <m>menawari</m> anak-anak usia sekolah dasar untuk dibiayai sepenuhnya oleh pemerintah, termasuk untuk pemondokan dan keperluan orangtua asuh.	recepient_obj_cxn	double-obj_clausal-theme	monotransitive	np	recepient	animate	yes	subj	TRUE	yes	clause	untuk	yes	obj1	clause	theme		clausal_theme	A-v-R-T
53	60	ind_news_2008_300K	78195	"""Selain itu, belum ada partai politik (parpol) yang"	menawari	secara langsung untuk maju sebagai capres.	"""Selain itu, belum ada partai politik (parpol) yang <m>menawari</m> secara langsung untuk maju sebagai capres."	theme_obj_cxn	theme-obj	monotransitive	clause	theme	inanimate	yes	subj	FALSE	yes	clause	untuk	no					clausal_theme	A-v-T
43	50	ind_news_2008_300K	103284	Setelah perkenalan itu, kata Safar, Darni	menawari	adiknya bekerja sebagai pembantu rumah tangga (PRT) dan korban pun senang karena dijanjikan pekerjaan sama orang yang ditemuinya.	Setelah perkenalan itu, kata Safar, Darni <m>menawari</m> adiknya bekerja sebagai pembantu rumah tangga (PRT) dan korban pun senang karena dijanjikan pekerjaan sama orang yang ditemuinya.	recepient_obj_cxn	double-obj_clausal-theme	monotransitive	np	recepient	animate	yes	subj	TRUE	yes	clause		yes	obj1	clause	theme		clausal_theme	A-v-R-T
119	126	ind_news_2008_300K	107699	"Ini insya Allah sekitar 50 ribu orang akan tertampung di situ,"" kata Menag sambil mengatakan, sudah banyak pihak yang"	menawari	pengadaan rumah.	"Ini insya Allah sekitar 50 ribu orang akan tertampung di situ,"" kata Menag sambil mengatakan, sudah banyak pihak yang <m>menawari</m> pengadaan rumah."	theme_obj_cxn	theme-obj	monotransitive	np	theme	inanimate	yes	subj	TRUE	yes	obj1		no						A-v-T
53	60	ind_news_2008_300K	110076	"""Sudah banyak yang datang kepada saya, di antaranya"	menawari	"jadi wakil bupati atau walikota namun saya tolak,"" kata Deddy Mizwar di Pekanbaru, Minggu usai nonton bareng film Naga Bonar dengan masyarakat di Kota Pekanbaru."	"""Sudah banyak yang datang kepada saya, di antaranya <m>menawari</m> jadi wakil bupati atau walikota namun saya tolak,"" kata Deddy Mizwar di Pekanbaru, Minggu usai nonton bareng film Naga Bonar dengan masyarakat di Kota Pekanbaru."	theme_obj_cxn	theme-obj	monotransitive	clause	theme	inanimate	yes	subj	TRUE	yes	clause		no					clausal_theme	A-v-T
23	30	ind_news_2008_300K	116209	NYTimes.com misalnya,	menawari	para saksi Teror Mumbai untuk memublikasikan kesaksian langsung mereka melalui lamannya, tatkala desingan peluru dan lemparan granat teroris mengincar nyawa mereka.	NYTimes.com misalnya, <m>menawari</m> para saksi Teror Mumbai untuk memublikasikan kesaksian langsung mereka melalui lamannya, tatkala desingan peluru dan lemparan granat teroris mengincar nyawa mereka.	recepient_obj_cxn	double-obj_clausal-theme	monotransitive	np	recepient	animate	yes	subj	FALSE	yes	clause	untuk	yes	obj1	clause	theme		clausal_theme	A-v-R-T
47	54	ind_news_2008_300K	147930	Mereka menginginkan Project Playlist dilarang	menawari	para konsumennya musik gratis dan mereka juga menggugat ganti rugi yang jumlahnya belum dirinci.	Mereka menginginkan Project Playlist dilarang <m>menawari</m> para konsumennya musik gratis dan mereka juga menggugat ganti rugi yang jumlahnya belum dirinci.	recepient_obj_cxn	double-obj_nominal-theme	ditransitive	np	recepient	animate	yes	subj	FALSE	yes	obj2		yes	obj1	np	theme			A-v-R-T
141	148	ind_news_2008_300K	148596	Karir di layar kaca dan dunia tarik suara memang dilakoni Unge dengan bekerja keras setelah memperoleh keberuntungan bertemu sutradara yang	menawari	menjadi bintang iklan.	Karir di layar kaca dan dunia tarik suara memang dilakoni Unge dengan bekerja keras setelah memperoleh keberuntungan bertemu sutradara yang <m>menawari</m> menjadi bintang iklan.	theme_obj_cxn	theme-obj	monotransitive	clause	theme	inanimate	yes	subj	TRUE	yes	clause		no					clausal_theme	A-v-T
28	35	ind_news_2008_300K	155551	Real Madrid diyakini telah	menawari	penghasilan sebesar 300.000 pound (586.	Real Madrid diyakini telah <m>menawari</m> penghasilan sebesar 300.000 pound (586.	theme_obj_cxn	theme-obj	monotransitive	np	theme	inanimate	yes	subj	FALSE	yes	obj1		no						A-v-T
21	28	ind_news_2008_300K	155953	Madonna (50), sudah	menawari	Ritchie harta gono-gini berupa rumah mewah mereka di Ashcombe House yang bernilai sekitar 12 juta pound ditambah uang 15 juta pound.	Madonna (50), sudah <m>menawari</m> Ritchie harta gono-gini berupa rumah mewah mereka di Ashcombe House yang bernilai sekitar 12 juta pound ditambah uang 15 juta pound.	recepient_obj_cxn	double-obj_nominal-theme	ditransitive	np	recepient	animate	yes	subj	TRUE	yes	obj2		yes	obj1	np	theme			A-v-R-T
60	67	ind_news_2008_300K	159718	Kepada parlemen ia menegaskan, kepolisian tidak tidak bisa	menawari	hadiah uang untuk informasi mengenai buronan-buronan, kejahatan yang tak terpecahkan, atau bagi bantuan dari publik.	Kepada parlemen ia menegaskan, kepolisian tidak tidak bisa <m>menawari</m> hadiah uang untuk informasi mengenai buronan-buronan, kejahatan yang tak terpecahkan, atau bagi bantuan dari publik.	theme_obj_cxn	theme-obj	monotransitive	np	theme	inanimate	yes	subj	FALSE	yes	obj1		no						A-v-T
85	92	ind_news_2008_300K	160994	Real siap membayar sedikitnya 80 juta euro (Rp1,18 triliun) untuk Ronaldo dan telah	menawari	pemain Portugal itu kontrak lima tahun dengan bayaran sembilan juta euro (Rp133,25 miliar) per tahunnya, menurut berbagai media Spanyol.	Real siap membayar sedikitnya 80 juta euro (Rp1,18 triliun) untuk Ronaldo dan telah <m>menawari</m> pemain Portugal itu kontrak lima tahun dengan bayaran sembilan juta euro (Rp133,25 miliar) per tahunnya, menurut berbagai media Spanyol.	recepient_obj_cxn	double-obj_nominal-theme	ditransitive	np	recepient	animate	yes	subj	FALSE	yes	obj2		yes	obj1	np	theme			A-v-R-T
79	86	ind_news_2008_300K	178624	"""Waktu itu saya bilang hati-hati karena pemilik tanah datang ke staf saya dan"	menawari	Rp7 miliar hingga Rp10 miliar bila harganya bagus.	"""Waktu itu saya bilang hati-hati karena pemilik tanah datang ke staf saya dan <m>menawari</m> Rp7 miliar hingga Rp10 miliar bila harganya bagus."	theme_obj_cxn	theme-obj	monotransitive	np	theme	inanimate	yes	subj	TRUE	yes	obj1		no						A-v-T
21	28	ind_news_2008_300K	227070	Setelah gagal, PDIP	menawari	Jafar menjadi caleg dari partai itu dan ia menerimanya.	Setelah gagal, PDIP <m>menawari</m> Jafar menjadi caleg dari partai itu dan ia menerimanya.	recepient_obj_cxn	double-obj_clausal-theme	monotransitive	np	recepient	animate	yes	subj	FALSE	yes	clause		yes	obj1	clause	theme		clausal_theme	A-v-R-T
34	41	ind_news_2008_300K	231262	Sebelumnya, kubu Muhaimin sempat	menawari	Gus Dur sebagai Dewan Mustasyar (penasehat), setelah menolak menjadi Ketua Umum Dewan Syura.	Sebelumnya, kubu Muhaimin sempat <m>menawari</m> Gus Dur sebagai Dewan Mustasyar (penasehat), setelah menolak menjadi Ketua Umum Dewan Syura.	recepient_obj_cxn	recipient-obj_theme-oblique	monotransitive	np	recepient	animate	yes	subj	TRUE	yes	obl	sebagai	yes	obj1	pp	theme		pp_theme	A-v-R-T
71	78	ind_news_2008_300K	240620	CEO Lehman Brothers Dick Fuld mengungkapkan hasrat perusahaanya untuk	menawari	para investor guna membeli seluruh aset perusahaan, namun dia berharap Lehman tetap menjadi perusahaan publik.	CEO Lehman Brothers Dick Fuld mengungkapkan hasrat perusahaanya untuk <m>menawari</m> para investor guna membeli seluruh aset perusahaan, namun dia berharap Lehman tetap menjadi perusahaan publik.	recepient_obj_cxn	double-obj_clausal-theme	monotransitive	np	recepient	animate	yes	nom_modifier	TRUE	yes	clause	guna	yes	obj1	clause	theme		clausal_theme	A-v-R-T
26	33	ind_news_2008_300K	293096	"""Sudah ada beberapa yang"	menawari	"saya, tetapi saya tidak mau,"" kata Ferry Salim kepada sejumlah wartawan di Pontianak, Rabu."	"""Sudah ada beberapa yang <m>menawari</m> saya, tetapi saya tidak mau,"" kata Ferry Salim kepada sejumlah wartawan di Pontianak, Rabu."	recepient_obj_cxn	recipient-obj	monotransitive	np	recepient	animate	yes	subj	TRUE	no			yes	obj1					A-v-R
15	22	ind_news_2008_300K	293578	Logikanya dia	menawari	"saya karena saya yang menolak tanah di kawasan itu, tidak aman,"" paparnya."	"Logikanya dia <m>menawari</m> saya karena saya yang menolak tanah di kawasan itu, tidak aman,"" paparnya."	recepient_obj_cxn	recipient-obj	monotransitive	np	recepient	animate	yes	subj	TRUE	no			yes	obj1					A-v-R
32	39	ind_news_2009_300K	15300	Menurut Wahyu, mahasiswa sudah	menawari	semua kandidat untuk menandatangani kontrak politik di acara Deklarasi Pemilu Damai Presiden dan Wakil Presiden yang digelar Komisi Pemilihan Umum (KPU) di Jakarta, Rabu (10/6).	Menurut Wahyu, mahasiswa sudah <m>menawari</m> semua kandidat untuk menandatangani kontrak politik di acara Deklarasi Pemilu Damai Presiden dan Wakil Presiden yang digelar Komisi Pemilihan Umum (KPU) di Jakarta, Rabu (10/6).	recepient_obj_cxn	double-obj_clausal-theme	monotransitive	np	recepient	animate	yes	subj	TRUE	yes	clause	untuk	yes	obj1	clause	theme		clausal_theme	A-v-R-T
73	80	ind_news_2009_300K	24312	Pria berusia 22 tahun yang namanya tidak diumumkan ditangkap ketika dia	menawari	tumpangan mobil untuk pulang dari sekolah, kata koran Okaz.	Pria berusia 22 tahun yang namanya tidak diumumkan ditangkap ketika dia <m>menawari</m> tumpangan mobil untuk pulang dari sekolah, kata koran Okaz.	theme_obj_cxn	theme-obj	monotransitive	np	theme	inanimate	yes	subj	TRUE	yes	obj1		no						A-v-T
170	177	ind_news_2009_300K	25732	Dua perusahaan minyak China, CNOOC dan Sinopec, meminta 25,40 dolar AS per barel untuk minyak sulingan dari ladang minyak Maysan di selatan irak, namun pemerintah hanya	menawari	mereka 2,30 dolar AS per barel.	Dua perusahaan minyak China, CNOOC dan Sinopec, meminta 25,40 dolar AS per barel untuk minyak sulingan dari ladang minyak Maysan di selatan irak, namun pemerintah hanya <m>menawari</m> mereka 2,30 dolar AS per barel.	recepient_obj_cxn	double-obj_nominal-theme	ditransitive	np	recepient	animate	yes	subj	FALSE	yes	obj2		yes	obj1	np	theme			A-v-R-T
87	94	ind_news_2009_300K	26801	Riyadh juga menyokong solusi dua-negara dengan Prakarsa Perdamaian Arabnya 2002, yang	menawari	Israel pengakuan Arab sebagai pertukaran bagi pembentukan negara Palestina berdasarkan pada penarikan Israel dari tanah yang didudukinya.	Riyadh juga menyokong solusi dua-negara dengan Prakarsa Perdamaian Arabnya 2002, yang <m>menawari</m> Israel pengakuan Arab sebagai pertukaran bagi pembentukan negara Palestina berdasarkan pada penarikan Israel dari tanah yang didudukinya.	recepient_obj_cxn	double-obj_nominal-theme	ditransitive	np	recepient	inanimate	yes	subj	FALSE	yes	obj2		yes	obj1	np	theme			A-v-R-T
