start	end	corpus	sent_id	left	node	right	node_sentences	schema	clause_type	subordinate_clause_type	syntactic_transitivity	dobj_syntax	dobj_role	dobj_animacy	dobj_concreteness	recipient_syntax	recipient_obl_flag	recipient_animacy	agent_encoded	agent_animacy	agent_core	theme_encoded	theme_core	recipient_encoded	recipient_core	recipient_gf	notes	word_order
13	22	ind_news_2011_300K	104367	Lenovo akan	menawarkan	notebook IdeaPad S10-3 dengan Window7 Starter yang cocok untuk pelajar dan pengguna PC dengan harga Rp2.	Lenovo akan <m>menawarkan</m> notebook IdeaPad S10-3 dengan Window7 Starter yang cocok untuk pelajar dan pengguna PC dengan harga Rp2.	theme_obj_cxn	main		monotransitive	np	theme	inanimate	concrete				yes	FALSE	TRUE	yes	TRUE	no			given_recipient	A-v-T
117	126	ind_news_2008_300K	2489	Menanggapi ancaman Menkop dan UKM Suryadharma Ali yang akan mundur terkait pemblokiran dana Kementerian KUKM, Mulia	menawarkan	penyelesaian bersama masalah itu.	Menanggapi ancaman Menkop dan UKM Suryadharma Ali yang akan mundur terkait pemblokiran dana Kementerian KUKM, Mulia <m>menawarkan</m> penyelesaian bersama masalah itu.	theme_obj_cxn	main		monotransitive	np	theme	inanimate	abstract				yes	TRUE	TRUE	yes	TRUE	no			given_recipient	A-v-T
207	216	ind_news_2010_300K	130747	Sebagai bagian dari konsumer dan dealer-dealer PC yang selama ini selalu meng-install software asli juga melakukan pendekatan kepada kami dan menanyakan apakah yang kami lakukan terhadap jaringan toko yang	menawarkan	"software bajakan,"" katanya."	"Sebagai bagian dari konsumer dan dealer-dealer PC yang selama ini selalu meng-install software asli juga melakukan pendekatan kepada kami dan menanyakan apakah yang kami lakukan terhadap jaringan toko yang <m>menawarkan</m> software bajakan,"" katanya."	theme_obj_cxn	subordinate	relative_clause	monotransitive	np	theme	inanimate	abstract				yes	FALSE	TRUE	yes	TRUE	no			given_recipient	A-v-T
107	116	ind_news_2010_300K	216905	""" Nokia telah bersaing dengan kompetitor lain seperti Apple dan RIM di pasar high-end, namun kegagalannya"	menawarkan	ponsel pintar telah menyakiti harga sahamnya selama beberapa bulan terakhir.	""" Nokia telah bersaing dengan kompetitor lain seperti Apple dan RIM di pasar high-end, namun kegagalannya <m>menawarkan</m> ponsel pintar telah menyakiti harga sahamnya selama beberapa bulan terakhir."	theme_obj_cxn	main		monotransitive	np	theme	inanimate	concrete				no	FALSE	FALSE	yes	TRUE	no			given_recipient	A-v-T
102	111	ind_news_2008_300K	172760	"Dari segi angka tidak luar biasa, tapi dari segi pertumbuhan, mengesankan,"" kata editor militan yang"	menawarkan	kue khas Rusia kepada para pengunjung.	"Dari segi angka tidak luar biasa, tapi dari segi pertumbuhan, mengesankan,"" kata editor militan yang <m>menawarkan</m> kue khas Rusia kepada para pengunjung."	theme_obj_cxn	subordinate	relative_clause	monotransitive	np	theme	inanimate	concrete	pp_dative	kepada	animate	yes	TRUE	TRUE	yes	TRUE	yes	FALSE	oblique		A-v-T-R
108	117	ind_news_2012_300K	66837	Dalam usaha patungannya, Verizon memiliki 65 persen penyertaan dan Redbox Coinstar 35 persen, akan memulai	menawarkan	produknya pada semester kedua 2012, kata Reuters mengutip pernyataan kedua perusahaan.	Dalam usaha patungannya, Verizon memiliki 65 persen penyertaan dan Redbox Coinstar 35 persen, akan memulai <m>menawarkan</m> produknya pada semester kedua 2012, kata Reuters mengutip pernyataan kedua perusahaan.	theme_obj_cxn	subordinate	complement	monotransitive	np	theme	inanimate	concrete				yes	FALSE	TRUE	yes	TRUE	no			given_recipient	A-v-T
55	64	ind_news_2009_300K	83553	Pemerintah Obama juga mengatakan, bahwa pihaknya akan	menawarkan	pengurangan emisi 17 persen dari tingkat 2005, pada 2020 di Konpenhagen.	Pemerintah Obama juga mengatakan, bahwa pihaknya akan <m>menawarkan</m> pengurangan emisi 17 persen dari tingkat 2005, pada 2020 di Konpenhagen.	theme_obj_cxn	subordinate	complement	monotransitive	np	theme	inanimate	abstract				yes	TRUE	TRUE	yes	TRUE	no			given_recipient	A-v-T
65	74	ind_news_2010_300K	256208	Rossing Uranium bukanlah sebuah tempat wisata pada umumnya yang	menawarkan	keindahan alam seperti pantai yang indah atau wilayah gunung yang hijau.	Rossing Uranium bukanlah sebuah tempat wisata pada umumnya yang <m>menawarkan</m> keindahan alam seperti pantai yang indah atau wilayah gunung yang hijau.	theme_obj_cxn	subordinate	relative_clause	monotransitive	np	theme	inanimate	abstract				yes	FALSE	TRUE	yes	TRUE	no			given_recipient	A-v-T
46	55	ind_news_2011_300K	125806	"""Sebanyak 22 perguruan tinggi Indonesia akan"	menawarkan	program studinya kepada masyarakat Malaysia sejak 20-22 Mei di Putra World Trade Centre (PWTC) Kuala Lumpur.	"""Sebanyak 22 perguruan tinggi Indonesia akan <m>menawarkan</m> program studinya kepada masyarakat Malaysia sejak 20-22 Mei di Putra World Trade Centre (PWTC) Kuala Lumpur."	theme_obj_cxn	main		monotransitive	np	theme	inanimate	abstract	pp_dative	kepada	animate	yes	FALSE	TRUE	yes	TRUE	yes	FALSE	oblique		A-v-T-R
42	51	ind_news_2011_300K	244278	Penurunan harga minyak setelah Venezuela	menawarkan	untuk mencoba dan menengahi konflik di Libya juga membantu pasar, menurut analis.	Penurunan harga minyak setelah Venezuela <m>menawarkan</m> untuk mencoba dan menengahi konflik di Libya juga membantu pasar, menurut analis.	theme_obj_cxn	subordinate	adverbial	monotransitive	clause	theme	inanimate	abstract				yes	FALSE	TRUE	yes	TRUE	no			given_recipient	A-v-T
